t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0,26600000.0,0.0,0.0,0.0,26600000.0,0.0,0.0,0.0,26600000.0
1,26599999.718429737,3870.34079432493,0.0,-3870.34079432493,26599999.718429737,0.0,0.0,-3870.34079432493,26599999.718429737
2,26599998.873718955,7740.68150671205,0.0,-7740.68150671205,26599998.873718955,0.0,0.0,-7740.68150671205,26599998.873718955
3,26599997.465867672,11611.022055223551,0.0,-11611.022055223551,26599997.465867672,0.0,0.0,-11611.022055223551,26599997.465867672
4,26599995.49487592,15481.362357921631,0.0,-15481.362357921631,26599995.49487592,0.0,0.0,-15481.362357921631,26599995.49487592
5,26599992.96074374,19351.702332868488,0.0,-19351.702332868488,26599992.96074374,0.0,0.0,-19351.702332868488,26599992.96074374
6,26599989.863471184,23222.04189812633,0.0,-23222.04189812633,26599989.863471184,0.0,0.0,-23222.04189812633,26599989.863471184
7,26599986.203058317,27092.38097175737,0.0,-27092.38097175737,26599986.203058317,0.0,0.0,-27092.38097175737,26599986.203058317
8,26599981.97950522,30962.719471823842,0.0,-30962.719471823842,26599981.97950522,0.0,0.0,-30962.719471823842,26599981.97950522
9,26599977.19281198,34833.05731638798,0.0,-34833.05731638798,26599977.19281198,0.0,0.0,-34833.05731638798,26599977.19281198
10,26599971.8429787,38703.394423512036,0.0,-38703.394423512036,26599971.8429787,0.0,0.0,-38703.394423512036,26599971.8429787
11,26599965.93000549,42573.73071125828,0.0,-42573.73071125828,26599965.93000549,0.0,0.0,-42573.73071125828,26599965.93000549
12,26599959.45389248,46444.06609768899,0.0,-46444.06609768899,26599959.45389248,0.0,0.0,-46444.06609768899,26599959.45389248
13,26599952.414639805,50314.40050086648,0.0,-50314.40050086648,26599952.414639805,0.0,0.0,-50314.40050086648,26599952.414639805
14,26599944.81224761,54184.73383885308,0.0,-54184.73383885308,26599944.81224761,0.0,0.0,-54184.73383885308,26599944.81224761
15,26599936.646716062,58055.066029711124,0.0,-58055.066029711124,26599936.646716062,0.0,0.0,-58055.066029711124,26599936.646716062
16,26599927.918045327,61925.396991502996,0.0,-61925.396991502996,26599927.918045327,0.0,0.0,-61925.396991502996,26599927.918045327
17,26599918.626235597,65795.72664229109,0.0,-65795.72664229109,26599918.626235597,0.0,0.0,-65795.72664229109,26599918.626235597
18,26599908.771287065,69666.05490013782,0.0,-69666.05490013782,26599908.771287065,0.0,0.0,-69666.05490013782,26599908.771287065
19,26599898.35319994,73536.38168310566,0.0,-73536.38168310566,26599898.35319994,0.0,0.0,-73536.38168310566,26599898.35319994
20,26599887.371974442,77406.70690925709,0.0,-77406.70690925709,26599887.371974442,0.0,0.0,-77406.70690925709,26599887.371974442
21,26599875.827610806,81277.03049665462,0.0,-81277.03049665462,26599875.827610806,0.0,0.0,-81277.03049665462,26599875.827610806
22,26599863.720109273,85147.35236336083,0.0,-85147.35236336083,26599863.720109273,0.0,0.0,-85147.35236336083,26599863.720109273
23,26599851.0494701,89017.67242743829,0.0,-89017.67242743829,26599851.0494701,0.0,0.0,-89017.67242743829,26599851.0494701
24,26599837.815693557,92887.99060694962,0.0,-92887.99060694962,26599837.815693557,0.0,0.0,-92887.99060694962,26599837.815693557
25,26599824.018779922,96758.3068199575,0.0,-96758.3068199575,26599824.018779922,0.0,0.0,-96758.3068199575,26599824.018779922
26,26599809.65872949,100628.62098452466,0.0,-100628.62098452466,26599809.65872949,0.0,0.0,-100628.62098452466,26599809.65872949
27,26599794.73554256,104498.93301871383,0.0,-104498.93301871383,26599794.73554256,0.0,0.0,-104498.93301871383,26599794.73554256
28,26599779.249219455,108369.2428405878,0.0,-108369.2428405878,26599779.249219455,0.0,0.0,-108369.2428405878,26599779.249219455
29,26599763.1997605,112239.55036820944,0.0,-112239.55036820944,26599763.1997605,0.0,0.0,-112239.55036820944,26599763.1997605
30,26599746.587166034,116109.85551964164,0.0,-116109.85551964164,26599746.587166034,0.0,0.0,-116109.85551964164,26599746.587166034
31,26599729.41143641,119980.15821294734,0.0,-119980.15821294734,26599729.41143641,0.0,0.0,-119980.15821294734,26599729.41143641
32,26599711.672571987,123850.45836618953,0.0,-123850.45836618953,26599711.672571987,0.0,0.0,-123850.45836618953,26599711.672571987
33,26599693.370573144,127720.75589743127,0.0,-127720.75589743127,26599693.370573144,0.0,0.0,-127720.75589743127,26599693.370573144
34,26599674.50544027,131591.05072473566,0.0,-131591.05072473566,26599674.50544027,0.0,0.0,-131591.05072473566,26599674.50544027
35,26599655.077173762,135461.34276616588,0.0,-135461.34276616588,26599655.077173762,0.0,0.0,-135461.34276616588,26599655.077173762
36,26599635.08577403,139331.63193978512,0.0,-139331.63193978512,26599635.08577403,0.0,0.0,-139331.63193978512,26599635.08577403
37,26599614.531241503,143201.9181636567,0.0,-143201.9181636567,26599614.531241503,0.0,0.0,-143201.9181636567,26599614.531241503
38,26599593.41357661,147072.20135584392,0.0,-147072.20135584392,26599593.41357661,0.0,0.0,-147072.20135584392,26599593.41357661
39,26599571.7327798,150942.48143441023,0.0,-150942.48143441023,26599571.7327798,0.0,0.0,-150942.48143441023,26599571.7327798
40,26599549.488851536,154812.7583174191,0.0,-154812.7583174191,26599549.488851536,0.0,0.0,-154812.7583174191,26599549.488851536
41,26599526.681792285,158683.03192293405,0.0,-158683.03192293405,26599526.681792285,0.0,0.0,-158683.03192293405,26599526.681792285
42,26599503.31160253,162553.30216901872,0.0,-162553.30216901872,26599503.31160253,0.0,0.0,-162553.30216901872,26599503.31160253
43,26599479.378282763,166423.56897373678,0.0,-166423.56897373678,26599479.378282763,0.0,0.0,-166423.56897373678,26599479.378282763
44,26599454.881833494,170293.832255152,0.0,-170293.832255152,26599454.881833494,0.0,0.0,-170293.832255152,26599454.881833494
45,26599429.822255243,174164.09193132818,0.0,-174164.09193132818,26599429.822255243,0.0,0.0,-174164.09193132818,26599429.822255243
46,26599404.19954854,178034.34792032925,0.0,-178034.34792032925,26599404.19954854,0.0,0.0,-178034.34792032925,26599404.19954854
47,26599378.013713922,181904.6001402192,0.0,-181904.6001402192,26599378.013713922,0.0,0.0,-181904.6001402192,26599378.013713922
48,26599351.264751952,185774.84850906208,0.0,-185774.84850906208,26599351.264751952,0.0,0.0,-185774.84850906208,26599351.264751952
49,26599323.95266319,189645.09294492204,0.0,-189645.09294492204,26599323.95266319,0.0,0.0,-189645.09294492204,26599323.95266319
50,26599296.07744822,193515.33336586333,0.0,-193515.33336586333,26599296.07744822,0.0,0.0,-193515.33336586333,26599296.07744822
51,26599267.639107626,197385.56968995024,0.0,-197385.56968995024,26599267.639107626,0.0,0.0,-197385.56968995024,26599267.639107626
52,26599238.63764201,201255.80183524717,0.0,-201255.80183524717,26599238.63764201,0.0,0.0,-201255.80183524717,26599238.63764201
53,26599209.073051993,205126.02971981865,0.0,-205126.02971981865,26599209.073051993,0.0,0.0,-205126.02971981865,26599209.073051993
54,26599178.945338193,208996.2532617292,0.0,-208996.2532617292,26599178.945338193,0.0,0.0,-208996.2532617292,26599178.945338193
55,26599148.254501253,212866.47237904355,0.0,-212866.47237904355,26599148.254501253,0.0,0.0,-212866.47237904355,26599148.254501253
56,26599117.00054182,216736.68698982644,0.0,-216736.68698982644,26599117.00054182,0.0,0.0,-216736.68698982644,26599117.00054182
57,26599085.183460556,220606.89701214273,0.0,-220606.89701214273,26599085.183460556,0.0,0.0,-220606.89701214273,26599085.183460556
58,26599052.803258136,224477.10236405735,0.0,-224477.10236405735,26599052.803258136,0.0,0.0,-224477.10236405735,26599052.803258136
59,26599019.859935243,228347.30296363542,0.0,-228347.30296363542,26599019.859935243,0.0,0.0,-228347.30296363542,26599019.859935243
60,26598986.353492577,232217.49872894204,0.0,-232217.49872894204,26598986.353492577,0.0,0.0,-232217.49872894204,26598986.353492577
61,26598952.283930846,236087.6895780425,0.0,-236087.6895780425,26598952.283930846,0.0,0.0,-236087.6895780425,26598952.283930846
62,26598917.651250772,239957.8754290022,0.0,-239957.8754290022,26598917.651250772,0.0,0.0,-239957.8754290022,26598917.651250772
63,26598882.455453087,243828.05619988652,0.0,-243828.05619988652,26598882.455453087,0.0,0.0,-243828.05619988652,26598882.455453087
64,26598846.696538538,247698.2318087611,0.0,-247698.2318087611,26598846.696538538,0.0,0.0,-247698.2318087611,26598846.696538538
65,26598810.37450788,251568.40217369163,0.0,-251568.40217369163,26598810.37450788,0.0,0.0,-251568.40217369163,26598810.37450788
66,26598773.489361886,255438.5672127439,0.0,-255438.5672127439,26598773.489361886,0.0,0.0,-255438.5672127439,26598773.489361886
67,26598736.041101333,259308.72684398378,0.0,-259308.72684398378,26598736.041101333,0.0,0.0,-259308.72684398378,26598736.041101333
68,26598698.029727012,263178.88098547736,0.0,-263178.88098547736,26598698.029727012,0.0,0.0,-263178.88098547736,26598698.029727012
69,26598659.45523973,267049.02955529076,0.0,-267049.02955529076,26598659.45523973,0.0,0.0,-267049.02955529076,26598659.45523973
70,26598620.31764031,270919.1724714902,0.0,-270919.1724714902,26598620.31764031,0.0,0.0,-270919.1724714902,26598620.31764031
71,26598580.61692957,274789.3096521421,0.0,-274789.3096521421,26598580.61692957,0.0,0.0,-274789.3096521421,26598580.61692957
72,26598540.353108354,278659.441015313,0.0,-278659.441015313,26598540.353108354,0.0,0.0,-278659.441015313,26598540.353108354
73,26598499.526177518,282529.5664790694,0.0,-282529.5664790694,26598499.526177518,0.0,0.0,-282529.5664790694,26598499.526177518
